"X","full_name","resale_price","registered_year","engine_capacity","insurance","transmission_type","kms_driven","owner_type","fuel_type","max_power","seats","mileage","body_type","city"
1,"2018 Tata Hexa XTA","₹ 10 Lakh","2018","2179 cc","Third Party insurance","Automatic","70,000 Kms","First Owner","Diesel","153.86bhp",7,"17.6 kmpl","MUV","Agra"
11,"2018 Hyundai Xcent 1.2 VTVT SX","₹ 4.75 Lakh","2018","1197 cc","Third Party insurance","Manual","60,000 Kms","Second Owner","Petrol","81.86bhp",5,"20.14 kmpl","Sedan","Agra"
12,"2020 Maruti Ciaz Sigma BSIV","₹ 6.86 Lakh","2020","1462 cc","Third Party insurance","Manual","50,000 Kms","Third Owner","Petrol","103.25bhp",5,"21.56 kmpl","Sedan","Agra"
15,"2019 Maruti Alto K10 VXI AGS Optional","₹ 3.95 Lakh","2019","998 cc","Third Party insurance","Automatic","20,000 Kms","First Owner","Petrol","67.1bhp",5,"23.95 kmpl","Hatchback","Agra"
20,"2020 Maruti Ciaz Alpha BSVI","₹ 7.85 Lakh","2020","1462 cc","Third Party insurance","Manual","30,000 Kms","Second Owner","Petrol","103.25bhp",5,"20.65 kmpl","Sedan","Agra"
27,"2018 Hyundai Xcent 1.2 VTVT SX","₹ 4.65 Lakh","2018","1197 cc","Third Party insurance","Manual","60,000 Kms","Second Owner","Petrol","81.86bhp",5,"20.14 kmpl","Sedan","Agra"
37,"2018 Tata Tiago 1.2 Revotron XE","₹ 3.16 Lakh","2018","1199 cc","Third Party insurance","Manual","1,00,000 Kms","First Owner","Petrol","84bhp",5,"23.84 kmpl","Hatchback","Agra"
39,"2019 Maruti Ertiga VDI","₹ 9 Lakh","2019","1248 cc","Third Party insurance","Manual","1,20,000 Kms","First Owner","Diesel","88.50bhp",7,"25.47 kmpl","MUV","Agra"
43,"2019 Maruti Alto 800 LXI","₹ 2.80 Lakh","2019","796 cc","Third Party insurance","Manual","80,000 Kms","First Owner","Petrol","47.33bhp",5,"22.05 kmpl","Hatchback","Agra"
55,"2019 Maruti Vitara Brezza VDi","₹ 7.40 Lakh","2019","1248 cc","Third Party insurance","Manual","80,000 Kms","Second Owner","Diesel","88.5bhp",5,"24.3 kmpl","SUV","Agra"
73,"2020 Kia Seltos HTX Diesel","₹ 13.49 Lakh","2020","1493 cc","Third Party insurance","Manual","70,000 Kms","First Owner","Diesel","113.43bhp",5,"20.8 kmpl","SUV","Agra"
74,"2019 Maruti Swift Dzire VDI","₹ 6.50 Lakh","2019","1248 cc","Third Party insurance","Manual","50,000 Kms","First Owner","Diesel","74.02bhp",5,"28.4 kmpl","Sedan","Agra"
75,"2019 Maruti Wagon R LXI","₹ 4.75 Lakh","2019","998 cc","Third Party insurance","Manual","20,000 Kms","First Owner","Petrol","67.05bhp",5,"21.79 kmpl","Hatchback","Agra"
77,"2019 Maruti Swift Dzire VDI","₹ 6.50 Lakh","2019","1248 cc","Third Party insurance","Manual","50,000 Kms","First Owner","Diesel","74.02bhp",5,"28.4 kmpl","Sedan","Agra"
81,"2020 Ford Figo Titanium Diesel","₹ 5.50 Lakh","2020","1499 cc","Third Party insurance","Manual","60,000 Kms","Second Owner","Diesel","98.96bhp",5,"24.4 kmpl","Hatchback","Agra"
100,"2019 Maruti Swift Dzire VXI 1.2","₹ 6.50 Lakh","2019","1197 cc","Third Party insurance","Manual","40,000 Kms","First Owner","Petrol","81.80bhp",5,"21.21 kmpl","Sedan","Agra"
103,"2019 Maruti Baleno 1.2 Zeta","₹ 5.70 Lakh","2019","1197 cc","Third Party insurance","Manual","80,000 Kms","Second Owner","Petrol","83.1bhp",5,"21.4 kmpl","Hatchback","Agra"
106,"2019 Maruti Vitara Brezza VDi","₹ 7.80 Lakh","2019","1248 cc","Third Party insurance","Manual","1,00,000 Kms","First Owner","Diesel","88.5bhp",5,"24.3 kmpl","SUV","Agra"
107,"2018 Renault KWID STD","₹ 2.40 Lakh","2018","799 cc","Third Party insurance","Manual","20,000 Kms","First Owner","Petrol","53.3bhp",5,"25.17 kmpl","Hatchback","Agra"
113,"2020 Mahindra XUV500 W7","₹ 12.75 Lakh","2020","2179 cc","Third Party insurance","Manual","50,000 Kms","First Owner","Diesel","152.87bhp",7,"15.1 kmpl","SUV","Agra"
115,"2020 Mahindra XUV500 W7","₹ 12.75 Lakh","2020","2179 cc","Third Party insurance","Manual","50,000 Kms","First Owner","Diesel","152.87bhp",7,"15.1 kmpl","SUV","Agra"
119,"2019 Maruti Wagon R ZXI 1.2","₹ 4.95 Lakh","2019","1197 cc","Third Party insurance","Manual","20,000 Kms","First Owner","Petrol","81.80bhp",5,"20.52 kmpl","Hatchback","Agra"
121,"2019 Kia Seltos GTX DCT","₹ 13.75 Lakh","2019","1353 cc","Third Party insurance","Automatic","20,000 Kms","First Owner","Petrol","138bhp",5,"16.2 kmpl","SUV","Agra"
123,"2020 MG Hector Sharp DCT","₹ 13 Lakh","2020","1451 cc","Third Party insurance","Automatic","40,000 Kms","Second Owner","Petrol","141bhp",5,"13.96 kmpl","SUV","Agra"
124,"2019 Tata Nexon 1.2 Revotron XT","₹ 6 Lakh","2019","1198 cc","Third Party insurance","Manual","70,000 Kms","First Owner","Petrol","108.5bhp",5,"17 kmpl","SUV","Agra"
127,"2020 Toyota Yaris G Optional","₹ 10.99 Lakh","2020","1496 cc","Third Party insurance","Manual","40,000 Kms","First Owner","Petrol","105.94bhp",5,"17.1 kmpl","Sedan","Agra"
129,"2019 Renault Triber RXL BSIV","₹ 4.35 Lakh","2019","999 cc","Third Party insurance","Manual","20,000 Kms","First Owner","Petrol","72bhp",7,"20 kmpl","MUV","Agra"
135,"2018 Maruti Wagon R LXI CNG","₹ 3.50 Lakh","2018","998 cc","Third Party insurance","Manual","1,50,000 Kms","First Owner","CNG","58.16bhp",5,"26.6 kmpl","Hatchback","Agra"
142,"2018 Renault KWID Climber 1.0 AMT","₹ 3.20 Lakh","2018","999 cc","Third Party insurance","Automatic","20,000 Kms","First Owner","Petrol","67bhp",5,"24.04 kmpl","Hatchback","Agra"
147,"2019 Maruti Swift Dzire VXI 1.2","₹ 6.50 Lakh","2019","1197 cc","Third Party insurance","Manual","40,000 Kms","First Owner","Petrol","81.80bhp",5,"21.21 kmpl","Sedan","Agra"
